entity1,entity2,relation
C.沃林顿,斯莱特林魁地奇球队,从属
C.沃林顿,调查行动组,从属
C.沃林顿,霍格沃茨魔法学校,从属
乔治·韦斯莱,亚瑟·韦斯莱,父亲
乔治·韦斯莱,凤凰社,从属
乔治·韦斯莱,吉迪翁·普威特,舅舅
乔治·韦斯莱,哈利·波特,妹夫
乔治·韦斯莱,塞德瑞拉·布莱克,祖母
乔治·韦斯莱,塞德里克·迪戈里,同门
乔治·韦斯莱,塞普蒂默斯·韦斯莱,祖父
乔治·韦斯莱,奥黛丽·韦斯莱,嫂子
乔治·韦斯莱,安吉利娜·约翰逊,妻子
乔治·韦斯莱,弗雷德·韦斯莱,双胞胎哥哥
乔治·韦斯莱,弗雷德·韦斯莱二世,儿子
乔治·韦斯莱,普威特先生,外祖父
乔治·韦斯莱,普威特夫人,外祖母
乔治·韦斯莱,普威特家族,从属
乔治·韦斯莱,查理·韦斯莱,哥哥
乔治·韦斯莱,格兰芬多学院,从属
乔治·韦斯莱,格兰芬多魁地奇球队,从属
乔治·韦斯莱,比利尔斯,叔叔
乔治·韦斯莱,比尔·韦斯莱,哥哥
乔治·韦斯莱,珀西·韦斯莱,哥哥
乔治·韦斯莱,纳威·隆巴顿,同门
乔治·韦斯莱,罗克珊·韦斯莱,女儿
乔治·韦斯莱,罗恩·韦斯莱,弟弟
乔治·韦斯莱,芙蓉·德拉库尔,嫂子
乔治·韦斯莱,莫丽·韦斯莱,母亲
乔治·韦斯莱,莱姆斯·卢平,学生
乔治·韦斯莱,费比安·普威特,舅舅
乔治·韦斯莱,赫敏·格兰杰,弟媳
乔治·韦斯莱,邓布利多军,从属
乔治·韦斯莱,金妮·韦斯莱,妹妹
乔治·韦斯莱,阿拉斯托·穆迪,学生
乔治·韦斯莱,霍格沃茨魔法学校,从属
乔治·韦斯莱,韦斯莱家族,从属
乔治·韦斯莱,韦斯莱魔法把戏坊,从属
乔治三世,亨利七世,祖先
乔治三世,威廉一世,祖先
乔治三世,维多利亚,孙女
亚伯拉罕·波特,哈利·波特,远亲
亚伯拉罕·波特,波特家族,从属
亚伯拉罕·波特,美国魔法国会,从属
亚伯拉罕·波特,詹姆·波特,远亲
亚瑟·韦斯莱,乔治·韦斯莱,儿子
